معرف الفرع*,معرف العقد*,معرف الشركة*,نوع الزيارة*,حالة الزيارة*,تاريخ الجدولة*,وقت الجدولة,تاريخ التنفيذ,وقت التنفيذ,المدة المتوقعة,خدمة التكييف,خدمة الكهرباء,خدمة السباكة,خدمة النجارة,خدمة الدهان,خدمة التنظيف,خدمة الحدادة,خدمة السيراميك,خدمة الزجاج,خدمة الألمنيوم,خدمة الأرضيات,خدمة الأسقف,خدمة الجدران,حالة الزيارة,ملاحظات,مصدر البيانات
0002-JED-001-0001,0002-001,0002,regular,completed,1-Aug-2024,09:00,1-Aug-2024,11:30,150,,,,,,,,,,,,,,completed,passed,system-import
0002-JED-002-0002,0002-002,0002,regular,completed,19-May-2024,09:00,19-May-2024,11:30,150,,,,,,,,,,,,,,completed,passed,system-import
0002-JED-001-0001,0002-001,0002,regular,completed,20-Feb-2025,09:00,20-Feb-2025,11:30,150,,,,,,,,,,,,,,completed,passed,system-import
0002-JED-002-0002,0002-002,0002,regular,completed,20-Mar-2025,09:00,20-Mar-2025,11:30,150,,,,,,,,,,,,,,completed,passed,system-import
0002-JED-001-0001,0002-001,0002,regular,completed,25-Jun-2025,09:00,25-Jun-2025,11:30,150,,,,,,,,,,,,,,completed,passed,system-import
0048-JED-001-0001,0048-001,0048,regular,completed,20-Feb-25,09:00,20-Feb-25,11:30,150,,,,,,,,,,,,,,completed,passed,system-import
0048-JED-001-0001,0048-001,0048,regular,completed,5-Aug-2024,09:00,5-Aug-2024,11:30,150,,,,,,,,,,,,,,completed,passed,system-import
0048-JED-001-0001,0048-001,0048,regular,completed,12-Feb-2024,09:00,12-Feb-2024,11:30,150,,,,,,,,,,,,,,completed,passed,system-import
0014-JED-001-0001,0014-001,0014,regular,completed,19-Apr-25,09:00,19-Apr-25,11:30,150,,,,,,,,,,,,,,completed,passed,system-import
0014-JED-001-0001,0014-001,0014,regular,completed,26-Feb-24,09:00,26-Feb-24,11:30,150,,,,,,,,,,,,,,completed,passed,system-import
0014-JED-001-0001,0014-001,0014,regular,completed,28-Dec-24,09:00,28-Dec-24,11:30,150,,,,,,,,,,,,,,completed,passed,system-import
0014-JED-001-0001,0014-001,0014,regular,completed,18-May-25,09:00,18-May-25,11:30,150,,,,,,,,,,,,,,completed,passed,system-import
0014-JED-001-0001,0014-001,0014,regular,completed,7-Aug-24,09:00,7-Aug-24,11:30,150,,,,,,,,,,,,,,completed,passed,system-import
0014-JED-001-0001,0014-001,0014,regular,completed,7-Oct-24,09:00,7-Oct-24,11:30,150,,,,,,,,,,,,,,completed,passed,system-import
0014-JED-001-0001,0014-001,0014,regular,completed,1-Aug-24,09:00,1-Aug-24,11:30,150,,,,,,,,,,,,,,completed,passed,system-import
0014-JED-001-0001,0014-001,0014,regular,completed,1-Jun-24,09:00,1-Jun-24,11:30,150,,,,,,,,,,,,,,completed,passed,system-import
0014-JED-001-0001,0014-001,0014,regular,completed,1-Jun-24,09:00,1-Jun-24,11:30,150,,,,,,,,,,,,,,completed,passed,system-import
0014-JED-001-0001,0014-001,0014,regular,completed,1-Apr-2024,09:00,1-Apr-2024,11:30,150,,,,,,,,,,,,,,completed,passed,system-import
0014-JED-001-0001,0014-001,0014,regular,completed,25-Feb-2025,09:00,25-Feb-2025,11:30,150,,,,,,,,,,,,,,completed,passed,system-import
0014-JED-001-0001,0014-001,0014,regular,completed,3-Apr-25,09:00,3-Apr-25,11:30,150,,,,,,,,,,,,,,completed,passed,system-import
