Client name,Concept,Location,City,visit1,visit2,visit3,visit4,visit5,visit6,visit7,visit8,visit9,visit10,visit11,visit12,visit13,visit14,visit15,visit16,visit17,visit18,visit19,visit20,visit21,visit22,visit23,visit24,visit25,visit26,visit27,visit28,visit29,visit30
شركة اعمار المعارف - كلية الأمير محمد,,مدينة الملك عبدالله,جدة,15-Feb-25,9/1/2024,10/1/2024,5/28/2024,4/20/2024,2/11/2025,6/1/2025,4/30/2025,,,,,,,,,,,,,,,,,,,,,,
مون بلاك,,البساتين مول,جدة,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
روضة الأطفال - براعة الصغار,,كيلو14,جدة,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
نقطة المراقبة للخدمات البيئية,,مركز الورود التجاري,جدة,24-Jun-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
شركة صفوة المفروشات المحدودة,,الشرفية,جدة,11-Feb-25,9/2/2024,3/31/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
شركة MHP العربية السعودية,,بن لادن بلازا - البغدادية,جدة,19-Apr-25,4/1/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,
مشهور الفايز,,الشاطئ,جدة,1/23/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
شركة الخليجية المتطورة للسيارات,,الجوهرة,جدة,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
مركز الرعاية المتطورة,,المرجان,جدة,4/1/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
شركة دار الهوات,,طريق الملك,جدة,21-Feb-25,5/1/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,
شركة الفرات لصناعة وإنتاج الواح الرخام,,الريان,جدة,10-Jan-24,1-Jun-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
مبنى دينار التجاري,,طريق الأمير سلطان,جدة,3/20/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
مؤسسة سامية الكثيري ,,حي مشرفة,جدة,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
شركة مجموعة شلهوب العربية المحدودة,GUESS ,Abraj Albait Mall ,مكة المكرمة,2/11/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
شركة سيفورا العربية المحدودة (ذات مسؤولية محدودة),Sephora,Abraj Albait Mall ,مكة المكرمة,2/11/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
شركة مجموعة شلهوب العربية المحدودة,The Visitor ,Air Port,جدة,10/1/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
شركة النجيمة التجارية المحدودة (ذات مسؤولية محدودة),Aquazzura,Al Khayyat Centre,جدة,4/29/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
شركة مجموعة شلهوب العربية المحدودة,Carolina Herrera (CH),Al Khayyat Centre,جدة,3/25/2025,4/29/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,
شركة كريستيان ديور كوتور العربية للتجارة ,Chanel ,Al Khayyat Centre,جدة,4/29/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
شركة النجيمة التجارية المحدودة (ذات مسؤولية محدودة),Christian Dior Couture,Al Khayyat Centre,جدة,4/29/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
شركة النجيمة التجارية المحدودة (ذات مسؤولية محدودة),Etoile la boutique ,Al Khayyat Centre,جدة,4/29/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
شركة فندي السعودية للتجارة,Fendi,Al Khayyat Centre,جدة,4/29/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
شركة مجموعة شلهوب العربية المحدودة,Jimmy Choo ,Al Khayyat Centre,جدة,4/29/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
شركة لويس فيتون العربية المحدودة,Louis Vuitton,Al Khayyat Centre,جدة,4/29/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
شركة النجيمة التجارية المحدودة (ذات مسؤولية محدودة),TODS,Al Khayyat Centre,جدة,4/29/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
شركة مجموعة شلهوب العربية المحدودة,Tory Burch,Al Khayyat Centre,جدة,4/29/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
شركة النجيمة التجارية المحدودة (ذات مسؤولية محدودة),Valentino,Al Khayyat Centre,جدة,4/29/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
شركة مجموعة شلهوب العربية المحدودة,Faces ,Al Noor,المدينة المنورة,25-May-25,7/11/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,
