معرف الفرع*,معرف العقد*,معرف الشركة*,نوع الزيارة*,حالة الزيارة*,تاريخ الجدولة*,وقت الجدولة,تاريخ التنفيذ,وقت التنفيذ,مدة الزيارة (دقائق),الفريق المختص,الفني المختص,صيانة الطفايات,صيانة نظام الإنذار,صيانة نظام الإطفاء,نظام الغاز,نظام الفوم,النتيجة العامة,المشاكل المكتشفة,التوصيات,تاريخ الزيارة القادمة,ملاحظات,تم الإنشاء بواسطة
0058-JED-001-0001,0058-001,0058,regular,completed,01-Apr-24,09:00,01-Apr-24,11:30,150,,,,,,,,passed,,,,,system-import
0033-JED-001-0001,0033-001,0033,regular,completed,22-Jan-24,09:00,22-Jan-24,11:30,150,,,,,,,,passed,,,,,system-import
0033-JED-001-0001,0033-001,0033,regular,completed,22-Jul-24,09:00,22-Jul-24,11:30,150,,,,,,,,passed,,,,,system-import
0033-JED-001-0001,0033-001,0033,regular,completed,22-Jul-24,09:00,22-Jul-24,11:30,150,,,,,,,,passed,,,,,system-import
0033-JED-001-0001,0033-001,0033,regular,completed,23-Jun-25,09:00,23-Jun-25,11:30,150,,,,,,,,passed,,,,,system-import
0033-JED-002-0002,0033-002,0033,regular,completed,22-Jan-24,09:00,22-Jan-24,11:30,150,,,,,,,,passed,,,,,system-import
0033-JED-002-0002,0033-002,0033,regular,completed,22-Jul-24,09:00,22-Jul-24,11:30,150,,,,,,,,passed,,,,,system-import
0033-JED-002-0002,0033-002,0033,regular,completed,01-Feb-25,09:00,01-Feb-25,11:30,150,,,,,,,,passed,,,,,system-import
0033-JED-003-0003,0033-003,0033,regular,completed,22-Jan-24,09:00,22-Jan-24,11:30,150,,,,,,,,passed,,,,,system-import
0033-JED-003-0003,0033-003,0033,regular,completed,01-Jul-24,09:00,01-Jul-24,11:30,150,,,,,,,,passed,,,,,system-import
0033-JED-003-0003,0033-003,0033,regular,completed,25-Jun-25,09:00,25-Jun-25,11:30,150,,,,,,,,passed,,,,,system-import
0033-JED-004-0004,0033-004,0033,regular,completed,22-Jan-24,09:00,22-Jan-24,11:30,150,,,,,,,,passed,,,,,system-import
0033-JED-004-0004,0033-004,0033,regular,completed,01-Jul-24,09:00,01-Jul-24,11:30,150,,,,,,,,passed,,,,,system-import
0033-JED-004-0004,0033-004,0033,regular,completed,25-Jun-25,09:00,25-Jun-25,11:30,150,,,,,,,,passed,,,,,system-import
