معرف الفرع*,معرف العقد*,معرف الشركة*,نوع الزيارة*,حالة الزيارة*,تاريخ الجدولة*,وقت الجدولة,تاريخ التنفيذ,وقت التنفيذ,المدة المتوقعة,خدمة التكييف,خدمة الكهرباء,خدمة السباكة,خدمة النجارة,خدمة الدهان,خدمة التنظيف,خدمة الحدادة,خدمة السيراميك,خدمة الزجاج,خدمة الألمنيوم,خدمة الأرضيات,خدمة الأسقف,خدمة الجدران,حالة الزيارة,ملاحظات,مصدر البيانات
0001-JED-001-0001,0001-001,0001,regular,completed,02-09-2024,09:00,02-09-2024,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,18-05-2025,09:00,18-05-2025,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,14-02-2025,09:00,14-02-2025,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,01-11-2024,09:00,01-11-2024,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,01-08-2024,09:00,01-08-2024,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,21-08-2024,09:00,21-08-2024,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,19-05-2025,09:00,19-05-2025,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,01-09-2024,09:00,01-09-2024,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,10-04-2025,09:00,10-04-2025,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,01-06-2024,09:00,01-06-2024,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,01-09-2024,09:00,01-09-2024,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,03-03-2024,09:00,03-03-2024,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,25-07-2024,09:00,25-07-2024,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,24-02-2025,09:00,24-02-2025,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,24-02-2024,09:00,24-02-2024,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,03-03-2024,09:00,03-03-2024,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,01-11-2024,09:00,01-11-2024,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,01-04-2024,09:00,01-04-2024,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,24-Sep,09:00,24-Sep,11:30,150,,,,,,,,,,,,,,passed,,system-import
0033-JED-001-0001,0033-001,0033,regular,completed,22-01-2024,09:00,22-01-2024,11:30,150,,,,,,,,,,,,,,passed,,system-import
0033-JED-001-0001,0033-001,0033,regular,completed,22-07-2024,09:00,22-07-2024,11:30,150,,,,,,,,,,,,,,passed,,system-import
0033-JED-001-0001,0033-001,0033,regular,completed,22-07-2024,09:00,22-07-2024,11:30,150,,,,,,,,,,,,,,passed,,system-import
0033-JED-001-0001,0033-001,0033,regular,completed,23-06-2025,09:00,23-06-2025,11:30,150,,,,,,,,,,,,,,passed,,system-import
0033-JED-002-0002,0033-002,0033,regular,completed,22-01-2024,09:00,22-01-2024,11:30,150,,,,,,,,,,,,,,passed,,system-import
0033-JED-002-0002,0033-002,0033,regular,completed,22-07-2024,09:00,22-07-2024,11:30,150,,,,,,,,,,,,,,passed,,system-import
0033-JED-002-0002,0033-002,0033,regular,completed,01-02-2025,09:00,01-02-2025,11:30,150,,,,,,,,,,,,,,passed,,system-import
0033-JED-001-0001,0001-001,0033,regular,completed,22-01-2024,09:00,22-01-2024,11:30,150,,,,,,,,,,,,,,passed,,system-import
0033-JED-001-0001,0001-001,0033,regular,completed,01-07-2024,09:00,01-07-2024,11:30,150,,,,,,,,,,,,,,passed,,system-import
